word,count,avg_hf_compound
use,41,0.04552259241662374
think,30,0.08697120149930318
feel,25,0.17958316326141358
would,20,0.046279925107955935
using,20,-0.0408827543258667
make,16,0.08025896549224854
used,15,0.08176289399464926
design,14,0.11022158179964338
lot,13,0.08701141522480892
also,13,0.02051258087158203
people,12,0.14102265735467276
things,12,0.09376564621925354
need,12,-0.09196755786736804
one,10,0.11543954610824585
making,10,0.04122402667999268
thing,10,-0.07769884467124939
easy,9,0.2927805715137058
especially,9,0.2901049322552151
templates,9,0.1483085552851359
flyers,9,0.11927482816908094
school,9,-0.02367207739088271
probably,9,-0.13628340429729885
stuff,8,0.3138231337070465
want,8,0.08435201644897461
something,8,0.03963224589824677
good,7,0.5033391203199115
pro,7,0.2490719727107457
within,7,-0.07842416422707695
icons,6,0.3913270632425944
still,6,0.1852530837059021
work,6,0.05186539888381958
right,6,-0.036131660143534326
say,5,0.2996309757232666
well,5,0.20763436555862427
might,5,0.1355058193206787
definitely,5,0.05421375036239625
remember,5,0.03389108180999756
time,5,-0.0753327965736389
find,5,-0.11598706245422363
subscription,5,-0.23927290439605714
useful,4,0.34330275654792786
provide,4,0.23881980776786804
sure,4,0.234453409910202
graphic,4,0.16676971316337585
example,4,0.1296713948249817
guess,4,0.11104258894920348
designer,4,0.10192012786865234
media,4,0.07833918929100035
take,4,0.04236385226249695
club,4,0.0
projects,4,0.0
flyer,4,0.0
super,4,-0.008855491876602173
premium,4,-0.0540165603160858
needed,4,-0.06262332201004028
great,3,0.9013229211171468
different,3,0.6651644706726074
pretty,3,0.5379200577735901
designs,3,0.5151493549346924
professional,3,0.3213704824447632
directly,3,0.28181664148966473
create,3,0.24105755488077799
called,3,0.23849121729532877
general,3,0.22235961755116782
better,3,0.2198798656463623
trying,3,0.19973512490590406
poster,3,0.15305531024932859
google,3,0.11710004011789955
level,3,0.10373079776763916
editing,3,0.08578236897786458
shapes,3,0.08162180582682292
many,3,0.060117880503336586
class,3,0.05648513634999593
simple,3,0.05433225631713867
platform,3,0.03841590881347656
maybe,3,0.0382025639216105
started,3,0.0
high,3,0.0
classroom,3,0.0
much,3,0.0
youtube,3,0.0
students,3,0.0
less,3,0.0
semester,3,0.0
actually,3,-0.05586393674214681
since,3,-0.0579309860865275
long,3,-0.0579309860865275
way,3,-0.07824520270029704
project,3,-0.10250369707743327
enough,3,-0.11687191327412925
point,3,-0.1492137908935547
see,3,-0.20213081439336136
website,3,-0.23195362091064453
assignments,3,-0.23195362091064453
gon,3,-0.3071231047312419
honestly,2,0.8366760611534119
paste,2,0.8237596750259399
features,2,0.5601939558982848
beginners,2,0.4660228490829468
presentations,2,0.4616640210151672
two,2,0.4345247149467468
user,2,0.4345247149467468
template,2,0.4220423698425293
access,2,0.40723156929016113
graphics,2,0.36402207612991333
elements,2,0.2712501883506775
best,2,0.16745251417160034
social,2,0.1566783785820007
ever,2,0.15559619665145874
event,2,0.15559619665145874
group,2,0.15559619665145874
party,2,0.11317604780197144
could,2,0.09852993488311765
nice,2,0.09852993488311765
going,2,0.06540679931640625
put,2,0.06326460838317871
mean,2,0.0061686635017395
past,2,0.0
mainly,2,0.0
mostly,2,0.0
presentation,2,0.0
organizations,2,0.0
stopped,2,0.0
designing,2,0.0
realized,2,0.0
black,2,0.0
wish,2,0.0
give,2,0.0
slideshows,2,0.0
years,2,0.0
either,2,0.0
instagram,2,0.0
post,2,0.0
even,2,0.0
ucla,2,0.0
original,2,0.0
asked,2,0.0
term,2,0.0
filters,2,0.0
first,2,0.0
editor,2,0.0
similar,2,0.0
looking,2,0.0
primarily,2,0.0
job,2,0.0
digital,2,0.0
functionality,2,0.0
main,2,-0.0139687359333038
grade,2,-0.0200618207454681
creating,2,-0.08648663759231565
account,2,-0.08689647912979125
offer,2,-0.1243438720703125
someone,2,-0.1487814784049988
sometimes,2,-0.2353041172027588
wants,2,-0.24731141328811646
text,2,-0.2605912685394287
today,2,-0.2605912685394287
become,2,-0.3173394203186035
almost,2,-0.37612396478652954
hard,2,-0.442238986492157
advanced,2,-0.4710949659347534
bad,2,-0.5245316028594971
