speaker,role,n_lines,avg_sentiment,share_positive,share_negative,share_neutral
Erin,interviewee,15,0.2691733333333334,0.6,0.2,0.2
Erin's interviewer,interviewer,16,0.121875,0.4375,0.125,0.4375
Jane,interviewee,8,0.8732625,1.0,0.0,0.0
Jane's interviewer,interviewer,8,0.5616625,0.875,0.125,0.0
Kaveri,interviewee,14,0.6867642857142856,0.9285714285714286,0.07142857142857142,0.0
Kaveri's interviewer,interviewer,14,0.7601071428571429,1.0,0.0,0.0
Kush,interviewee,24,0.5265541666666667,0.75,0.08333333333333333,0.16666666666666666
Kush's interviewer,interviewer,20,0.47604499999999994,0.8,0.1,0.1
Lauren,interviewee,11,0.4554636363636364,0.7272727272727273,0.18181818181818182,0.09090909090909091
Lauren's interviewer,interviewer,12,0.5846916666666667,0.8333333333333334,0.08333333333333333,0.08333333333333333
Liv,interviewee,9,0.6502777777777777,0.7777777777777778,0.1111111111111111,0.1111111111111111
Liv's interviewer,interviewer,12,0.2692583333333333,0.5,0.16666666666666666,0.3333333333333333
Queena,interviewee,15,0.6843933333333333,0.9333333333333333,0.0,0.06666666666666667
Queena's interviewer,interviewer,14,0.3319142857142857,0.7142857142857143,0.0,0.2857142857142857
Sarah,interviewee,10,0.84415,1.0,0.0,0.0
Sarah's interviewer,interviewer,10,0.53113,0.9,0.1,0.0
